Question,Answer
質譜依什麼偵測化合物？,質荷比 m/z
GC-MS 產生的資料形式？,樣本×代謝物矩陣
峰高取對數的目的？,壓縮動態範圍
autoscale 讓代謝物？,等權重貢獻
PCA 是監督還是非監督？,非監督
PC1 代表什麼方向？,最大變異
分數 T 看的是？,樣本
負荷量 P 看的是？,變數（代謝物）
決定保留幾個 PC 看什麼圖？,陡坡圖 scree
偵測離群樣本的統計量？,Hotelling T²
本課離群的是哪個年份批次？,2001
PCA 不用什麼就能分群？,標籤
PLS-DA 是監督還是非監督？,監督
PLS-DA 最大化什麼？,指紋與類別的共變異
PLS 的壓縮方向叫？,潛在變量 LV
訓練測試分開的評估法？,交叉驗證
LV 太多會造成？,過度擬合
本課二元分類的兩個品種？,Chardonnay 與 Sauvignon Blanc
1 個 LV 的 CV 準確率約？,97%
5 折 CV 的整體準確率？,100%
混淆矩陣對角線代表？,正確分類數
找關鍵代謝物用什麼分數？,VIP
VIP 榜首的酒酸？,酒石酸
葡萄酒含量最高的胺基酸？,脯胺酸
PLS-DA 三大食品應用？,產地溯源、品種鑑別、摻偽偵測
資料集來源研究編號？,ST000006
