Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
PCA 是哪一種學習？,非監督式,監督式,強化學習,迴歸
PLS-DA 是哪一種學習？,監督式,非監督式,分群,降維（不用標籤）
PC1 代表的方向是？,最大變異,最小變異,隨機方向,與 y 垂直
分數（T）描述的是？,樣本位置,代謝物組成,模型誤差,波長
負荷量（P）描述的是？,代謝物如何組成主成分,樣本位置,模型準確率,樣本數
log+autoscale 前處理的目的？,壓縮範圍並讓代謝物等權重,刪除小峰,增加樣本數,改變品種
Hotelling T² 用來做什麼？,偵測離群樣本,預測濃度,選顏色,計算熱量
PLS-DA 找方向的準則？,最大化與類別的共變異,最大化 X 總變異,最小化樣本數,隨機選取
為何要交叉驗證？,避免自我評分造成虛高,讓準確率更高,純為加快速度,讓畫面美觀
過度擬合的特徵？,LV 太多、硬背雜訊,LV 太少,樣本太多,與模型複雜度無關
VIP 高的代謝物代表？,對分類貢獻大,對分類無關,是雜訊,是樣本編號
PLS-DA 的食品應用？,產地溯源／品種鑑別／摻偽偵測,加熱殺菌,包裝印刷,熱量計算
